location,population,date,HighestInfectionCount,PercentPopulationInfected
Czechia,10708982,2/18/2021,1123252,10.4888774675315
Luxembourg,625976,4/21/2021,65604,10.4802740041152
Montenegro,628062,2/8/2021,65657,10.4539042323847
Slovenia,2078932,4/1/2021,216939,10.4351176469456
Luxembourg,625976,4/20/2021,65319,10.4347451020486
San Marino,33938,2/23/2021,3538,10.42489245094
Andorra,77265,12/31/2020,8049,10.4173946806445
Luxembourg,625976,4/19/2021,65144,10.4067887586745
Bahrain,1701583,4/30/2021,176934,10.3981997939566
Czechia,10708982,2/17/2021,1112322,10.3868136112284
Montenegro,628062,2/7/2021,65227,10.3854396540469
Slovenia,2078932,3/31/2021,215602,10.3708057791212
Luxembourg,625976,4/16/2021,64746,10.3432080463149
Luxembourg,625976,4/17/2021,64746,10.3432080463149
Luxembourg,625976,4/18/2021,64746,10.3432080463149
Andorra,77265,12/30/2020,7983,10.331974373908
Bahrain,1701583,4/29/2021,175752,10.328735066112
Luxembourg,625976,4/15/2021,64549,10.3117371912022
Montenegro,628062,2/6/2021,64739,10.307740318631
Slovenia,2078932,3/30/2021,214045,10.2959115545867
San Marino,33938,2/22/2021,3494,10.295244268961
Luxembourg,625976,4/14/2021,64334,10.2773908264854
Czechia,10708982,2/16/2021,1099654,10.2685203878389
Bahrain,1701583,4/28/2021,174659,10.2645007619376
Andorra,77265,12/29/2020,7919,10.249142561315
Slovenia,2078932,3/29/2021,212966,10.2440099050859
Luxembourg,625976,4/13/2021,64062,10.2339386813552
San Marino,33938,2/20/2021,3472,10.2304201779716
San Marino,33938,2/21/2021,3472,10.2304201779716
Slovenia,2078932,3/28/2021,212678,10.23015663812
Montenegro,628062,2/5/2021,64168,10.2168257273963
Luxembourg,625976,4/12/2021,63880,10.204864084246
Slovenia,2078932,3/27/2021,212040,10.1994678036607
Bahrain,1701583,4/27/2021,173548,10.1992086192681
Andorra,77265,12/28/2020,7875,10.1921956901573
Czechia,10708982,2/15/2021,1090860,10.1864024050092
Czechia,10708982,2/14/2021,1088009,10.1597798931775
Bahrain,1701583,4/26/2021,172576,10.1420853405329
Slovenia,2078932,3/26/2021,210785,10.1391002687919
Luxembourg,625976,4/10/2021,63467,10.138887113883
Luxembourg,625976,4/11/2021,63467,10.138887113883
Luxembourg,625976,4/9/2021,63467,10.138887113883
San Marino,33938,2/19/2021,3440,10.1361305910778
Serbia,6804596,4/30/2021,689557,10.1336949320724
Montenegro,628062,2/4/2021,63633,10.1316430543481
Andorra,77265,12/27/2020,7821,10.1223063482819
Czechia,10708982,2/13/2021,1082849,10.1115960415285
Serbia,6804596,4/29/2021,687944,10.1099903653354
Andorra,77265,12/26/2020,7806,10.1028926422054
Luxembourg,625976,4/8/2021,63180,10.0930387107493
Slovenia,2078932,3/25/2021,209753,10.0894593954973
Serbia,6804596,4/28/2021,685937,10.0804955944482
San Marino,33938,2/18/2021,3420,10.0771995992693
Bahrain,1701583,4/25/2021,171370,10.0712101613615
Montenegro,628062,2/3/2021,63118,10.0496447802924
Serbia,6804596,4/27/2021,683799,10.0490756541608
Andorra,77265,12/25/2020,7756,10.0381802886171
